channel,ip_address,session_id,user_id,event,user_group,current_time,query,product_id,product,quantity
Referral,63.181.186.170,c8e5d3a8b61ba4963245eaf5e9b66e3cf0d53103d868b35b6be8955e576135f0,316223,Search,grp-060,1677613783427,Random Query,,Mobile Phone,
Referral,63.181.186.170,c8e5d3a8b61ba4963245eaf5e9b66e3cf0d53103d868b35b6be8955e576135f0,316223,Search,grp-060,1677613824427,Random Query,,Mobile Phone,
Referral,63.181.186.170,c8e5d3a8b61ba4963245eaf5e9b66e3cf0d53103d868b35b6be8955e576135f0,316223,Search,grp-060,1677613916428,Random Query,,Mobile Phone,
Referral,63.181.186.170,c8e5d3a8b61ba4963245eaf5e9b66e3cf0d53103d868b35b6be8955e576135f0,316223,IncreaseQuantity,grp-060,1677613961428,Random Query,434260,Mobile Phone,2
Referral,63.181.186.170,c8e5d3a8b61ba4963245eaf5e9b66e3cf0d53103d868b35b6be8955e576135f0,316223,Search,grp-060,1677613973428,Random Query,,Mobile Phone,
Referral,63.181.186.170,c8e5d3a8b61ba4963245eaf5e9b66e3cf0d53103d868b35b6be8955e576135f0,316223,Search,grp-060,1677614013428,Random Query,,Mobile Phone,
Referral,63.181.186.170,c8e5d3a8b61ba4963245eaf5e9b66e3cf0d53103d868b35b6be8955e576135f0,316223,Search,grp-060,1677614247428,Random Query,,Mobile Phone,
Referral,63.181.186.170,c8e5d3a8b61ba4963245eaf5e9b66e3cf0d53103d868b35b6be8955e576135f0,316223,Search,grp-060,1677614513428,Random Query,,Mobile Phone,
Referral,63.181.186.170,c8e5d3a8b61ba4963245eaf5e9b66e3cf0d53103d868b35b6be8955e576135f0,316223,Search,grp-060,1677614913428,Random Query,,Mobile Phone,
Referral,63.181.186.170,c8e5d3a8b61ba4963245eaf5e9b66e3cf0d53103d868b35b6be8955e576135f0,316223,Search,grp-060,1677614958428,Random Query,,Mobile Phone,
Referral,63.181.186.170,c8e5d3a8b61ba4963245eaf5e9b66e3cf0d53103d868b35b6be8955e576135f0,316223,Search,grp-060,1677615018428,Random Query,,Mobile Phone,
Referral,63.181.186.170,c8e5d3a8b61ba4963245eaf5e9b66e3cf0d53103d868b35b6be8955e576135f0,316223,Search,grp-060,1677615579428,Random Query,,Mobile Phone,
Referral,63.181.186.170,c8e5d3a8b61ba4963245eaf5e9b66e3cf0d53103d868b35b6be8955e576135f0,316223,Search,grp-060,1677616011428,Random Query,,Mobile Phone,
Referral,63.181.186.170,c8e5d3a8b61ba4963245eaf5e9b66e3cf0d53103d868b35b6be8955e576135f0,316223,Search,grp-060,1677616349428,Random Query,,Mobile Phone,
Referral,63.181.186.170,c8e5d3a8b61ba4963245eaf5e9b66e3cf0d53103d868b35b6be8955e576135f0,316223,Search,grp-060,1677616825428,Random Query,,Mobile Phone,
Referral,63.181.186.170,c8e5d3a8b61ba4963245eaf5e9b66e3cf0d53103d868b35b6be8955e576135f0,316223,AddToCart,grp-060,1677617245429,Random Query,362167,Mobile Phone,2
Referral,63.181.186.170,c8e5d3a8b61ba4963245eaf5e9b66e3cf0d53103d868b35b6be8955e576135f0,316223,Search,grp-060,1677617709429,Random Query,,Mobile Phone,
Referral,63.181.186.170,c8e5d3a8b61ba4963245eaf5e9b66e3cf0d53103d868b35b6be8955e576135f0,316223,AddToCart,grp-060,1677618015429,Random Query,682245,Mobile Phone,2
Referral,63.181.186.170,c8e5d3a8b61ba4963245eaf5e9b66e3cf0d53103d868b35b6be8955e576135f0,316223,Search,grp-060,1677618483429,Random Query,,Mobile Phone,
Referral,63.181.186.170,c8e5d3a8b61ba4963245eaf5e9b66e3cf0d53103d868b35b6be8955e576135f0,316223,Search,grp-060,1677619395429,Random Query,,Mobile Phone,
Referral,132.252.158.0,6086970dd733dffd86485614dd69e4f135608765c7f00e244a1f3113458c493c,14076,Search,grp-014,1677613757431,Random Query,,Mobile Phone,
Referral,132.252.158.0,6086970dd733dffd86485614dd69e4f135608765c7f00e244a1f3113458c493c,14076,Search,grp-014,1677613802431,Random Query,,Mobile Phone,
Referral,132.252.158.0,6086970dd733dffd86485614dd69e4f135608765c7f00e244a1f3113458c493c,14076,Search,grp-014,1677613856431,Random Query,,Mobile Phone,
Referral,132.252.158.0,6086970dd733dffd86485614dd69e4f135608765c7f00e244a1f3113458c493c,14076,Search,grp-014,1677613946431,Random Query,,Mobile Phone,
Referral,132.252.158.0,6086970dd733dffd86485614dd69e4f135608765c7f00e244a1f3113458c493c,14076,Search,grp-014,1677614114431,Random Query,,Mobile Phone,
Referral,132.252.158.0,6086970dd733dffd86485614dd69e4f135608765c7f00e244a1f3113458c493c,14076,Search,grp-014,1677614254431,Random Query,,Mobile Phone,
Referral,132.252.158.0,6086970dd733dffd86485614dd69e4f135608765c7f00e244a1f3113458c493c,14076,Search,grp-014,1677614590431,Random Query,,Mobile Phone,
Referral,132.252.158.0,6086970dd733dffd86485614dd69e4f135608765c7f00e244a1f3113458c493c,14076,Search,grp-014,1677614744431,Random Query,,Mobile Phone,
Referral,132.252.158.0,6086970dd733dffd86485614dd69e4f135608765c7f00e244a1f3113458c493c,14076,Search,grp-014,1677614976431,Random Query,,Mobile Phone,
Referral,132.252.158.0,6086970dd733dffd86485614dd69e4f135608765c7f00e244a1f3113458c493c,14076,Search,grp-014,1677615183431,Random Query,,Mobile Phone,
Referral,132.252.158.0,6086970dd733dffd86485614dd69e4f135608765c7f00e244a1f3113458c493c,14076,IncreaseQuantity,grp-014,1677615353431,Random Query,363424,Mobile Phone,3
