olc_id,timestamp_utc,project_id,meter_id,kwh,interval_kwh,region
12384723,2024-02-15 00:00:00.000000 UTC,238434,1,54.908,0.001,AB
12384723,2024-02-15 00:15:00.000000 UTC,238434,1,54.91,0.002,AB
12384723,2024-02-15 00:30:00.000000 UTC,238434,1,54.911,0.001,AB
12384723,2024-02-15 00:45:00.000000 UTC,238434,1,54.912,1.00E-03,AB
12384723,2024-02-15 01:00:00.000000 UTC,238434,1,54.914,0.002,AB
12384723,2024-02-15 01:15:00.000000 UTC,238434,1,54.915,1.00E-03,AB
12384723,2024-02-15 01:30:00.000000 UTC,238434,1,54.916,1.00E-03,AB
12384723,2024-02-15 01:45:00.000000 UTC,238434,1,54.917,0.001,AB
12384723,2024-02-15 02:00:00.000000 UTC,238434,1,54.919,0.002,AB
12384723,2024-02-15 02:15:00.000000 UTC,238434,1,54.92,0.001,AB
