gpio,time,temperature,humidity,measure_name
22,1695335950657,80.75,52.64,metric
22,1695336888640,81.17,53.5,metric
22,1695337111385,81.04,53.69,metric
22,1695337193716,81.39,53.31,metric
22,1695337490023,81.34,53.89,metric
22,1695337615400,80.62,52.65,metric
22,1695337652864,80.76,52.21,metric
22,1695337684334,80.75,52.78,metric
22,1695337789736,81.21,52.98,metric
22,1695337874802,81.05,53.37,metric
22,1695337948182,81.24,53.79,metric
22,1695337993177,81.31,53.75,metric
22,1695338313824,81.45,52.09,metric
22,1695338549403,80.9,52.79,metric
22,1695338561847,80.98,52.78,metric
22,1695338578810,80.7,52.97,metric
22,1695339102330,81.36,52.99,metric
22,1695339254149,81.13,52.45,metric
22,1695339436212,80.92,52.17,metric
22,1695339711684,81.41,52.28,metric
22,1695339773083,81.56,52.73,metric
22,1695339841215,81.2,52.48,metric
22,1695340140903,81.11,52.62,metric
22,1695340157870,80.8,51.48,metric
22,1695340199373,80.92,52.35,metric
22,1695340629595,80.88,52.29,metric
22,1695340756143,81.11,52.83,metric
22,1695341491992,80.8,51.92,metric
22,1695341722532,81.21,52.67,metric
22,1695341774459,81.33,52.57,metric
22,1695341934150,81.13,52.46,metric
22,1695342558891,80.74,52.88,metric
22,1695342793000,81.28,52.16,metric
22,1695343590325,81.45,52.86,metric
22,1695343672285,80.6,52.72,metric
22,1695343721943,80.92,52.01,metric
22,1695343805635,80.71,52.66,metric
22,1695343954225,80.61,52.42,metric
22,1695344342019,81.24,52.3,metric
22,1695344405040,81.06,52.08,metric
22,1695344835237,81.53,52.5,metric
22,1695344942394,80.94,53.82,metric
22,1695345090265,80.99,53.64,metric
22,1695345351027,79.6,49.22,metric
22,1695345537042,77.61,49.41,metric
22,1695345639735,77.46,49.06,metric
22,1695346320867,75.45,50.1,metric
22,1695346609816,75.58,54.63,metric
22,1695346753608,76.03,62.33,metric
22,1695346847990,75.97,65.24,metric
22,1695347096532,75.22,61.92,metric
22,1695347114537,76.14,61.5,metric
22,1695347206307,75.43,66.22,metric
22,1695347438891,76.07,57.09,metric
22,1695347542814,75.79,68.27,metric
22,1695347992986,75.39,63.27,metric
22,1695348550090,74.19,65.19,metric
22,1695348804764,73.88,63.82,metric
22,1695348881299,74.0,63.33,metric
22,1695348950640,73.96,69.44,metric
22,1695349045459,75.64,69.74,metric
22,1695349495236,74.01,62.31,metric
22,1695349600317,74.27,63.25,metric
22,1695349656363,74.31,67.7,metric
22,1695349722515,74.14,69.04,metric
22,1695349981054,74.36,65.53,metric
22,1695350061650,73.9,69.37,metric
22,1695350442059,73.85,69.72,metric
22,1695350959353,74.02,63.44,metric
22,1695351087552,73.91,67.04,metric
22,1695351259078,73.68,64.11,metric
22,1695351411569,74.34,64.14,metric
22,1695351605543,73.8,64.23,metric
22,1695351633718,73.73,64.37,metric
22,1695351646738,74.01,63.6,metric
22,1695352033414,71.68,56.82,metric
22,1695352052383,71.79,57.62,metric
22,1695352123814,70.14,66.8,metric
22,1695352387274,72.39,59.59,metric
22,1695352403788,69.83,57.02,metric
22,1695352686696,71.85,65.88,metric
22,1695352958792,72.44,77.04,metric
22,1695353027642,72.35,69.82,metric
22,1695353424808,71.85,64.41,metric
22,1695353673654,70.73,76.22,metric
22,1695353780521,70.22,64.44,metric
22,1695354010250,70.58,76.94,metric
22,1695354044200,70.15,77.21,metric
22,1695354152446,69.96,63.54,metric
22,1695354217432,70.33,58.33,metric
22,1695354932698,70.57,60.7,metric
22,1695355350154,70.62,71.87,metric
22,1695355535428,72.07,67.7,metric
22,1695355659024,72.08,66.73,metric
22,1695355738583,74.09,65.27,metric
22,1695356098146,74.34,63.53,metric
22,1695356254684,74.2,63.14,metric
22,1695356305733,73.93,63.58,metric
22,1695356581604,75.29,62.37,metric
22,1695356699152,76.09,62.33,metric
22,1695357063655,75.82,60.25,metric
22,1695357200160,75.62,60.87,metric
22,1695357722691,75.54,59.94,metric
22,1695357828716,75.29,59.87,metric
22,1695357850685,75.62,59.94,metric
22,1695358009225,75.74,59.86,metric
22,1695358453372,75.7,58.25,metric
22,1695358681490,77.6,58.36,metric
22,1695358957696,77.5,58.87,metric
22,1695359019715,77.31,58.48,metric
22,1695359631200,77.15,58.76,metric
22,1695359646171,77.46,58.94,metric
22,1695359660658,77.0,58.17,metric
22,1695359820195,77.25,58.28,metric
22,1695360118614,77.47,58.82,metric
22,1695360178563,77.4,58.19,metric
22,1695360257210,77.13,58.72,metric
22,1695360312669,77.46,58.18,metric
22,1695360533638,77.62,58.4,metric
22,1695360563098,77.04,59.0,metric
22,1695360822256,77.14,58.9,metric
22,1695360889260,77.81,58.81,metric
22,1695361101774,77.99,58.99,metric
22,1695361500699,77.85,58.41,metric
22,1695361902547,77.87,58.08,metric
22,1695362081325,77.8,58.62,metric
22,1695362312241,77.56,58.08,metric
22,1695362347235,77.46,58.57,metric
22,1695362592942,77.99,58.58,metric
22,1695363127630,77.86,58.43,metric
22,1695363264839,77.31,58.06,metric
22,1695363361300,77.65,58.8,metric
22,1695363633154,77.19,58.42,metric
22,1695363651168,77.5,58.33,metric
22,1695363861734,77.36,58.36,metric
22,1695364039550,77.69,58.96,metric
22,1695364057501,77.38,58.09,metric
22,1695364500525,77.05,58.91,metric
22,1695364522523,77.17,58.98,metric
22,1695364654187,77.57,58.89,metric
22,1695364801638,77.71,58.43,metric
22,1695364925914,77.27,58.8,metric
22,1695365061016,77.92,58.78,metric
22,1695365235885,77.59,58.13,metric
22,1695365552984,77.27,58.0,metric
22,1695365941305,77.33,58.3,metric
22,1695366010326,77.32,58.28,metric
22,1695366024477,77.19,58.68,metric
22,1695366063036,77.76,58.21,metric
22,1695366582211,77.67,58.11,metric
22,1695366806293,77.76,58.2,metric
22,1695367312500,77.93,58.17,metric
22,1695367345024,77.17,58.75,metric
22,1695367365003,77.85,58.87,metric
22,1695367444946,77.29,58.9,metric
22,1695367827737,77.09,58.94,metric
22,1695367949423,77.51,58.96,metric
22,1695368071571,77.48,58.85,metric
22,1695368123916,77.66,58.75,metric
22,1695368199849,77.96,58.95,metric
22,1695368232794,77.5,58.84,metric
22,1695368282834,77.05,58.61,metric
22,1695368317881,77.18,58.61,metric
22,1695368358049,77.19,60.0,metric
22,1695368617959,77.4,58.82,metric
22,1695368854745,77.85,58.28,metric
22,1695368884225,77.55,59.73,metric
22,1695369094882,77.49,59.62,metric
22,1695369239185,77.53,59.82,metric
22,1695369336205,77.59,59.63,metric
22,1695369542595,77.87,59.67,metric
22,1695369679025,77.63,59.18,metric
22,1695369854433,77.41,59.51,metric
22,1695369935842,77.11,59.2,metric
22,1695370483011,77.99,59.8,metric
22,1695370496008,77.82,59.85,metric
22,1695370625909,77.71,59.94,metric
22,1695370646881,77.18,59.06,metric
22,1695370931552,77.54,59.78,metric
22,1695370979010,76.1,59.69,metric
22,1695371574946,75.69,59.63,metric
22,1695371708617,75.87,59.03,metric
22,1695372552892,75.41,60.93,metric
22,1695372619305,76.1,60.08,metric
22,1695372700818,75.89,60.71,metric
22,1695372799492,76.07,60.17,metric
22,1695373059436,75.6,60.1,metric
22,1695373461435,75.71,60.06,metric
22,1695373482393,75.61,60.03,metric
22,1695373514360,76.12,60.54,metric
