channel,ip_address,session_id,user_id,event,user_group,current_time,query,product_id,product,quantity
Referral,63.181.186.170,c8e5d3a8b61ba4963245eaf5e9b66e3cf0d53103d868b35b6be8955e576135f0,316223,IncreaseQuantity,grp-060,1696831838003,Random Query,434260,Mobile Phone,2
Referral,63.181.186.170,c8e5d3a8b61ba4963245eaf5e9b66e3cf0d53103d868b35b6be8955e576135f0,316223,AddToCart,grp-060,1696831838015,Random Query,362167,Mobile Phone,2
Referral,63.181.186.170,c8e5d3a8b61ba4963245eaf5e9b66e3cf0d53103d868b35b6be8955e576135f0,316223,AddToCart,grp-060,1696831838017,Random Query,682245,Mobile Phone,2
Referral,132.252.158.0,6086970dd733dffd86485614dd69e4f135608765c7f00e244a1f3113458c493c,14076,IncreaseQuantity,grp-014,1696831838030,Random Query,363424,Mobile Phone,3
Direct,247.53.174.177,17609ff9d66992888be41db993bdb4cb3ba097df8d1e564a86d5914b052f7a44,2387,AddToCart,grp-002,1696831838032,Random Query,586750,Mobile Phone,1
Direct,247.53.174.177,17609ff9d66992888be41db993bdb4cb3ba097df8d1e564a86d5914b052f7a44,2387,AddToCart,grp-002,1696831838040,Random Query,453649,Mobile Phone,1
Organic search,209.20.248.182,07dffa2f54ad4e0544588e9ed614ba72ec95c596a06604b01169702cc7f6967e,572630,AddToCart,grp-060,1696831838050,Random Query,902288,Mobile Phone,1
Organic search,209.20.248.182,07dffa2f54ad4e0544588e9ed614ba72ec95c596a06604b01169702cc7f6967e,572630,AddToCart,grp-060,1696831838053,Random Query,959332,Mobile Phone,1
Organic search,210.229.38.137,5c22d732f7efbcb5d6b1ac77f20630bee3013166a6d457bad169d6bdc2a041c2,605309,AddToCart,grp-093,1696831838069,Random Query,95701,Mobile Phone,1
Organic search,210.229.38.137,5c22d732f7efbcb5d6b1ac77f20630bee3013166a6d457bad169d6bdc2a041c2,605309,AddToCart,grp-093,1696831838070,Random Query,181865,Mobile Phone,1
Organic search,210.229.38.137,5c22d732f7efbcb5d6b1ac77f20630bee3013166a6d457bad169d6bdc2a041c2,605309,IncreaseQuantity,grp-093,1696831838072,Random Query,803464,Mobile Phone,2
Organic search,210.229.38.137,5c22d732f7efbcb5d6b1ac77f20630bee3013166a6d457bad169d6bdc2a041c2,605309,IncreaseQuantity,grp-093,1696831838073,Random Query,950626,Mobile Phone,5
Organic search,210.229.38.137,5c22d732f7efbcb5d6b1ac77f20630bee3013166a6d457bad169d6bdc2a041c2,605309,IncreaseQuantity,grp-093,1696831838078,Random Query,745883,Mobile Phone,6
Direct,202.56.79.198,c6423425bbbb8d61b936472391c20c33eebb29b2b542c52649f82040c28a5806,25750,AddToCart,grp-025,1696831838088,Random Query,238047,Mobile Phone,1
Direct,202.56.79.198,c6423425bbbb8d61b936472391c20c33eebb29b2b542c52649f82040c28a5806,25750,AddToCart,grp-025,1696831838092,Random Query,599096,Mobile Phone,1
Direct,202.56.79.198,c6423425bbbb8d61b936472391c20c33eebb29b2b542c52649f82040c28a5806,25750,AddToCart,grp-025,1696831838099,Random Query,933818,Mobile Phone,1
Direct,202.56.79.198,c6423425bbbb8d61b936472391c20c33eebb29b2b542c52649f82040c28a5806,25750,IncreaseQuantity,grp-025,1696831838101,Random Query,438275,Mobile Phone,3
